dish_id,dish_name,cuisine,common_ingredients,allergens,dietary_tags,source_restaurant_count,description,possible_substitutions,preparation_method,ingredient_variations,allergen_confidence,source
D0011,Veg Biryani,Biryani,"spices, salt, cooking oil, basmati rice, whole spices, onion",none_identified_from_name,vegetarian,126,"Veg Biryani is a vegetarian Biryani dish commonly associated with basmati rice, whole spices, and onion.",,layered and dum-cooked,"protein may vary: vegetables, chicken, or mutton",low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_biryani
D0012,Paneer Bhurji,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",116,"Paneer Bhurji is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),sauteed or stir-fried,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_bhurji
D0013,Cheese Butter Masala,North Indian,"spices, salt, cooking oil, butter, cheese, cumin, coriander",dairy,vegetarian,108,"Cheese Butter Masala is a vegetarian North Indian dish commonly associated with butter, cheese, cumin, and coriander.","butter->plant-based butter (check product allergens), cheese->dairy-free cheese (check product allergens)",simmered,,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=cheese_butter_masala
D0014,Garlic Naan,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,108,"Garlic Naan is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,tandoor-baked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=garlic_naan
D0015,Veg Pulao,North Indian,"spices, salt, cooking oil, rice, vegetables, cumin, coriander",none_identified_from_name,vegetarian,103,"Veg Pulao is a vegetarian North Indian dish commonly associated with rice, vegetables, cumin, and coriander.",,pot-cooked,"vegetable, spice, and protein additions may vary",low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_pulao
D0016,Green Salad,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,102,Green Salad is a vegetarian North Indian dish commonly associated with cumin and coriander.,,"mixed, no-cook or minimally cooked",,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=green_salad
D0017,Paneer Lababdar,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",100,"Paneer Lababdar is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),simmered,"protein variation may use paneer, tofu, or mixed vegetables, gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_lababdar
D0018,Dal Makhani,North Indian,"spices, salt, cooking oil, lentils, onion, tomato, butter, cumin, coriander",dairy,"high-protein, vegetarian",99,"Dal Makhani is a vegetarian North Indian dish commonly associated with lentils, onion, tomato, butter, and cumin.",butter->plant-based butter (check product allergens),simmered,"lentil variety and tempering spices may vary, gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=dal_makhani
D0019,Butter Roti,North Indian,"spices, salt, cooking oil, wheat flour, butter, cumin, coriander","gluten, dairy",vegetarian,93,"Butter Roti is a vegetarian North Indian dish commonly associated with wheat flour, butter, cumin, and coriander.","butter->plant-based butter (check product allergens), wheat flour->gluten-free flour blend",griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=butter_roti
D0020,Plain Rice,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,93,Plain Rice is a vegetarian North Indian dish commonly associated with cumin and coriander.,,pot-cooked,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=plain_rice
D0021,Malai Kofta,North Indian,"spices, salt, cooking oil, spiced dumplings, onion, tomato, gravy, cream, cumin, coriander","possible_dairy, possible_tree_nuts, dairy",vegetarian,87,"Malai Kofta is a vegetarian North Indian dish commonly associated with spiced dumplings, onion, tomato, gravy, and cream.",cream->coconut cream (introduces coconut),simmered,"gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=malai_kofta
D0022,Cheese Naan,North Indian,"spices, salt, cooking oil, wheat flour, cheese, cumin, coriander","gluten, dairy",vegetarian,84,"Cheese Naan is a vegetarian North Indian dish commonly associated with wheat flour, cheese, cumin, and coriander.","cheese->dairy-free cheese (check product allergens), wheat flour->gluten-free flour blend",tandoor-baked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=cheese_naan
D0023,Chicken Fried Rice,Indo-Chinese,"spices, salt, cooking oil, rice, vegetables, chicken, garlic, spring onion, sauce","possible_soy, possible_gluten","non-vegetarian, high-protein",84,"Chicken Fried Rice is a non-vegetarian Indo-Chinese dish commonly associated with rice, vegetables, chicken, garlic, and spring onion.",chicken->tofu or mushrooms (tofu introduces soy),stir-fried,"vegetable, spice, and protein additions may vary",medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chicken_fried_rice
D0024,Plain Naan,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,84,"Plain Naan is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,tandoor-baked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=plain_naan
D0025,Boondi Raita,North Indian,"spices, salt, cooking oil, yogurt, cumin, coriander",dairy,vegetarian,83,"Boondi Raita is a vegetarian North Indian dish commonly associated with yogurt, cumin, and coriander.",yogurt->plant-based yogurt (check soy or nut allergens),"mixed, no-cook or minimally cooked","chutneys, toppings, and seasoning may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=boondi_raita
D0026,Veg Hakka Noodles,Indo-Chinese,"spices, salt, cooking oil, noodles, vegetables, sauce, garlic, spring onion","gluten, possible_soy",vegetarian,81,"Veg Hakka Noodles is a vegetarian Indo-Chinese dish commonly associated with noodles, vegetables, sauce, garlic, and spring onion.",wheat noodles->rice noodles,stir-fried,"vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_hakka_noodles
D0027,Egg Fried Rice,Indo-Chinese,"spices, salt, cooking oil, rice, vegetables, egg, garlic, spring onion, sauce","egg, possible_soy, possible_gluten","contains-egg, non-vegetarian",80,"Egg Fried Rice is a non-vegetarian Indo-Chinese dish commonly associated with rice, vegetables, egg, garlic, and spring onion.",,stir-fried,"vegetable, spice, and protein additions may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=egg_fried_rice
D0028,Shahi Paneer,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",79,"Shahi Paneer is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),simmered,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=shahi_paneer
D0029,Veg Kolhapuri,Indian,"spices, salt, cooking oil, wheat flour",gluten,vegetarian,79,Veg Kolhapuri is a vegetarian Indian dish commonly associated with wheat flour.,wheat flour->gluten-free flour blend,,,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_kolhapuri
D0030,Chana Masala,North Indian,"spices, salt, cooking oil, chickpeas, onion, tomato, cumin, coriander",none_identified_from_name,"high-protein, vegetarian",75,"Chana Masala is a vegetarian North Indian dish commonly associated with chickpeas, onion, tomato, cumin, and coriander.",,simmered,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chana_masala
D0031,Aloo Paratha,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,74,"Aloo Paratha is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=aloo_paratha
D0032,Butter Kulcha,North Indian,"spices, salt, cooking oil, wheat flour, butter, cumin, coriander","gluten, dairy",vegetarian,74,"Butter Kulcha is a vegetarian North Indian dish commonly associated with wheat flour, butter, cumin, and coriander.","butter->plant-based butter (check product allergens), wheat flour->gluten-free flour blend",tandoor-baked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=butter_kulcha
D0033,Paneer Paratha,North Indian,"spices, salt, cooking oil, wheat flour, paneer, cumin, coriander","gluten, dairy","vegetarian, high-protein",72,"Paneer Paratha is a vegetarian North Indian dish commonly associated with wheat flour, paneer, cumin, and coriander.","paneer->tofu (introduces soy), wheat flour->gluten-free flour blend",griddle-cooked,"protein variation may use paneer, tofu, or mixed vegetables, flour blend and cooking fat may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_paratha
D0034,Fried Papad,Indian,"spices, salt, cooking oil",none_identified_from_name,vegetarian,70,Fried Papad is a vegetarian Indian dish generally seasoned with regional spices.,,roasted,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=fried_papad
D0035,Veg Jaipuri,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,69,"Veg Jaipuri is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,,,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_jaipuri
D0036,Steamed Rice,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,68,Steamed Rice is a vegetarian North Indian dish commonly associated with cumin and coriander.,,pot-cooked,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=steamed_rice
D0037,Paneer Tikka,North Indian,"spices, salt, cooking oil, ginger, garlic, paneer, cumin, coriander",dairy,"grilled, vegetarian, high-protein",67,"Paneer Tikka is a vegetarian North Indian dish commonly associated with ginger, garlic, paneer, cumin, and coriander.",paneer->tofu (introduces soy),grilled or tandoor-roasted,"protein variation may use paneer, tofu, or mixed vegetables, marinade and protein choice may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_tikka
D0038,Veg Kadai,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,67,Veg Kadai is a vegetarian North Indian dish commonly associated with cumin and coriander.,,simmered,"gravy base may vary: onion-tomato, dairy, or nut paste",low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_kadai
D0039,Masala Dosa,South Indian,"spices, salt, cooking oil, rice, urad dal, fenugreek, oil, curry leaves, mustard seeds",none_identified_from_name,"fermented, vegetarian",66,"Masala Dosa is a vegetarian South Indian dish commonly associated with rice, urad dal, fenugreek, curry leaves, and mustard seeds.",,fermented and griddle-cooked,batter ratio and fermentation time may vary,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=masala_dosa
D0040,Mix Veg,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,66,Mix Veg is a vegetarian North Indian dish commonly associated with cumin and coriander.,,,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=mix_veg
D0041,Mushroom Masala,Chinese,"spices, salt, cooking oil, garlic, spring onion, sauce","possible_soy, possible_gluten",vegetarian,66,"Mushroom Masala is a vegetarian Chinese dish commonly associated with garlic, spring onion, and sauce.",,simmered,,medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=mushroom_masala
D0042,Paneer Handi,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",66,"Paneer Handi is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),simmered,"protein variation may use paneer, tofu, or mixed vegetables, gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_handi
D0043,Schezwan Fried Rice,Indo-Chinese,"spices, salt, cooking oil, rice, vegetables, garlic, spring onion, sauce","possible_soy, possible_gluten",vegetarian,63,"Schezwan Fried Rice is a vegetarian Indo-Chinese dish commonly associated with rice, vegetables, garlic, spring onion, and sauce.",,stir-fried,"vegetable, spice, and protein additions may vary",medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=schezwan_fried_rice
D0044,Veg Makhanwala,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,63,Veg Makhanwala is a vegetarian North Indian dish commonly associated with cumin and coriander.,,,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_makhanwala
D0045,Missi Roti,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,62,"Missi Roti is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=missi_roti
D0046,Veg Manchow Soup,Chinese,"spices, salt, cooking oil, garlic, spring onion, sauce","possible_soy, possible_gluten",vegetarian,62,"Veg Manchow Soup is a vegetarian Chinese dish commonly associated with garlic, spring onion, and sauce.",,simmered,,medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_manchow_soup
D0047,Chinese Bhel,Chinese,"spices, salt, cooking oil, chutney, crisps, garlic, spring onion, sauce","possible_gluten, possible_soy","street-food, vegetarian",61,"Chinese Bhel is a vegetarian Chinese dish commonly associated with chutney, crisps, garlic, spring onion, and sauce.",,"mixed, no-cook or minimally cooked","chutneys, toppings, and seasoning may vary",medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chinese_bhel
D0048,Veg Manchurian Gravy,Indo-Chinese,"spices, salt, cooking oil, vegetables, flour, soy sauce, garlic, spring onion, sauce","gluten, soy",vegetarian,61,"Veg Manchurian Gravy is a vegetarian Indo-Chinese dish commonly associated with vegetables, flour, soy sauce, garlic, and spring onion.",,simmered,"vegetables, protein, and sauce blend may vary, gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_manchurian_gravy
D0049,Chicken Biryani,Biryani,"spices, salt, cooking oil, basmati rice, whole spices, onion, chicken",none_identified_from_name,"non-vegetarian, high-protein",60,"Chicken Biryani is a non-vegetarian Biryani dish commonly associated with basmati rice, whole spices, onion, and chicken.",chicken->tofu or mushrooms (tofu introduces soy),layered and dum-cooked,"protein may vary: vegetables, chicken, or mutton",low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chicken_biryani
D0050,Chicken Masala,North Indian,"spices, salt, cooking oil, chicken, cumin, coriander",none_identified_from_name,"non-vegetarian, high-protein",60,"Chicken Masala is a non-vegetarian North Indian dish commonly associated with chicken, cumin, and coriander.",chicken->tofu or mushrooms (tofu introduces soy),simmered,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chicken_masala
D0051,Veg Manchurian Dry,Indo-Chinese,"spices, salt, cooking oil, vegetables, flour, soy sauce, garlic, spring onion, sauce","gluten, soy",vegetarian,60,"Veg Manchurian Dry is a vegetarian Indo-Chinese dish commonly associated with vegetables, flour, soy sauce, garlic, and spring onion.",,sauteed or stir-fried,"vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_manchurian_dry
D0052,Veg Raita,North Indian,"spices, salt, cooking oil, yogurt, cumin, coriander",dairy,vegetarian,60,"Veg Raita is a vegetarian North Indian dish commonly associated with yogurt, cumin, and coriander.",yogurt->plant-based yogurt (check soy or nut allergens),"mixed, no-cook or minimally cooked","chutneys, toppings, and seasoning may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_raita
D0053,Butter Milk,North Indian,"spices, salt, cooking oil, butter, cumin, coriander",dairy,vegetarian,59,"Butter Milk is a vegetarian North Indian dish commonly associated with butter, cumin, and coriander.",butter->plant-based butter (check product allergens),"mixed, no-cook or minimally cooked",,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=butter_milk
D0054,Paneer Chilli Dry,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",59,"Paneer Chilli Dry is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),sauteed or stir-fried,"protein variation may use paneer, tofu, or mixed vegetables, vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_chilli_dry
D0055,Pineapple Raita,North Indian,"spices, salt, cooking oil, yogurt, cumin, coriander",dairy,vegetarian,59,"Pineapple Raita is a vegetarian North Indian dish commonly associated with yogurt, cumin, and coriander.",yogurt->plant-based yogurt (check soy or nut allergens),"mixed, no-cook or minimally cooked","chutneys, toppings, and seasoning may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=pineapple_raita
D0056,Veg Handi,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,59,Veg Handi is a vegetarian North Indian dish commonly associated with cumin and coriander.,,simmered,"gravy base may vary: onion-tomato, dairy, or nut paste",low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_handi
D0057,Plain Roti,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,58,"Plain Roti is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=plain_roti
D0058,Plain Paratha,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,57,"Plain Paratha is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=plain_paratha
D0059,Manchow Soup,Chinese,"spices, salt, cooking oil, garlic, spring onion, sauce","possible_soy, possible_gluten",vegetarian,56,"Manchow Soup is a vegetarian Chinese dish commonly associated with garlic, spring onion, and sauce.",,simmered,,medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=manchow_soup
D0060,Mushroom Fried Rice,Indo-Chinese,"spices, salt, cooking oil, rice, vegetables, garlic, spring onion, sauce","possible_soy, possible_gluten",vegetarian,56,"Mushroom Fried Rice is a vegetarian Indo-Chinese dish commonly associated with rice, vegetables, garlic, spring onion, and sauce.",,stir-fried,"vegetable, spice, and protein additions may vary",medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=mushroom_fried_rice
D0061,Butter Paratha,North Indian,"spices, salt, cooking oil, wheat flour, butter, cumin, coriander","gluten, dairy",vegetarian,55,"Butter Paratha is a vegetarian North Indian dish commonly associated with wheat flour, butter, cumin, and coriander.","butter->plant-based butter (check product allergens), wheat flour->gluten-free flour blend",griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=butter_paratha
D0062,Paneer Kadai,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",54,"Paneer Kadai is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),simmered,"protein variation may use paneer, tofu, or mixed vegetables, gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_kadai
D0063,Steam Rice,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,54,Steam Rice is a vegetarian North Indian dish commonly associated with cumin and coriander.,,pot-cooked,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=steam_rice
D0064,Curd Rice,North Indian,"spices, salt, cooking oil, yogurt, cumin, coriander",dairy,vegetarian,53,"Curd Rice is a vegetarian North Indian dish commonly associated with yogurt, cumin, and coriander.",yogurt->plant-based yogurt (check soy or nut allergens),pot-cooked,,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=curd_rice
D0065,Kadai Paneer,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",53,"Kadai Paneer is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),simmered,"protein variation may use paneer, tofu, or mixed vegetables, gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=kadai_paneer
D0066,Schezwan Noodles,Indo-Chinese,"spices, salt, cooking oil, noodles, vegetables, sauce, garlic, spring onion","gluten, possible_soy",vegetarian,53,"Schezwan Noodles is a vegetarian Indo-Chinese dish commonly associated with noodles, vegetables, sauce, garlic, and spring onion.",wheat noodles->rice noodles,stir-fried,"vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=schezwan_noodles
D0067,Butter Chicken,North Indian,"spices, salt, cooking oil, butter, chicken, cumin, coriander",dairy,"non-vegetarian, high-protein",52,"Butter Chicken is a non-vegetarian North Indian dish commonly associated with butter, chicken, cumin, and coriander.","butter->plant-based butter (check product allergens), chicken->tofu or mushrooms (tofu introduces soy)",,,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=butter_chicken
D0068,Tandoori Roti,North Indian,"spices, salt, cooking oil, wheat flour, ginger, garlic, cumin, coriander",gluten,"grilled, vegetarian",52,"Tandoori Roti is a vegetarian North Indian dish commonly associated with wheat flour, ginger, garlic, cumin, and coriander.",wheat flour->gluten-free flour blend,grilled or tandoor-roasted,"flour blend and cooking fat may vary, marinade and protein choice may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=tandoori_roti
D0069,Chicken Tikka,North Indian,"spices, salt, cooking oil, ginger, garlic, chicken, cumin, coriander",none_identified_from_name,"grilled, non-vegetarian, high-protein",50,"Chicken Tikka is a non-vegetarian North Indian dish commonly associated with ginger, garlic, chicken, cumin, and coriander.",chicken->tofu or mushrooms (tofu introduces soy),grilled or tandoor-roasted,marinade and protein choice may vary,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chicken_tikka
D0070,Aloo Palak,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,49,Aloo Palak is a vegetarian North Indian dish commonly associated with cumin and coriander.,,simmered,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=aloo_palak
D0071,Kaju Curry,North Indian,"spices, salt, cooking oil, cashew, cumin, coriander",tree_nuts,vegetarian,49,"Kaju Curry is a vegetarian North Indian dish commonly associated with cashew, cumin, and coriander.",cashew->sunflower seed paste (introduces seeds),simmered,"gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=kaju_curry
D0072,Paneer Pasanda,North Indian,"spices, salt, cooking oil, paneer, egg, cumin, coriander","dairy, egg","vegetarian, high-protein, contains-egg",49,"Paneer Pasanda is a vegetarian North Indian dish commonly associated with paneer, egg, cumin, and coriander.",paneer->tofu (introduces soy),,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_pasanda
D0073,Aloo Gobi,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,48,Aloo Gobi is a vegetarian North Indian dish commonly associated with cumin and coriander.,,,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=aloo_gobi
D0074,Bhindi Masala,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,48,Bhindi Masala is a vegetarian North Indian dish commonly associated with cumin and coriander.,,simmered,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=bhindi_masala
D0075,Dum Aloo,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,48,Dum Aloo is a vegetarian North Indian dish commonly associated with cumin and coriander.,,,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=dum_aloo
